symbol,base,quote,name
BINANCE:KSMBTC,KSM,BTC,
BINANCE:LTCBTC,LTC,BTC,
BINANCE:FILBTC,FIL,BTC,
BINANCE:SOLBTC,SOL,BTC,
BINANCE:REPBTC,REP,BTC,
BINANCE:ARBTC,AR,BTC,
BINANCE:BADGERBTC,BADGER,BTC,
BINANCE:UNFIBTC,UNFI,BTC,
BINANCE:EOSBTC,EOS,BTC,
BINANCE:1INCHBTC,1INCH,BTC,
BINANCE:MTLBTC,MTL,BTC,
BINANCE:KNCBTC,KNC,BTC,
BINANCE:WRXBTC,WRX,BTC,
BINANCE:MATICBTC,MATIC,BTC,
BINANCE:XRPBTC,XRP,BTC,
BINANCE:ADXBTC,ADX,BTC,
BINANCE:VIABTC,VIA,BTC,
BINANCE:GXSBTC,GXS,BTC,
BINANCE:GRTBTC,GRT,BTC,
BINANCE:HIVEBTC,HIVE,BTC,
BINANCE:FTMBTC,FTM,BTC,
BINANCE:AAVEBTC,AAVE,BTC,
BINANCE:XMRBTC,XMR,BTC,
BINANCE:DASHBTC,DASH,BTC,
BINANCE:ZECBTC,ZEC,BTC,
BINANCE:EGLDBTC,EGLD,BTC,
BINANCE:ZENBTC,ZEN,BTC,
BINANCE:ICPBTC,ICP,BTC,
BINANCE:NEOBTC,NEO,BTC,
BINANCE:NMRBTC,NMR,BTC,
BINANCE:FTTBTC,FTT,BTC,
BINANCE:BTCSTBTC,ST,BTC,
BINANCE:LPTBTC,LPT,BTC,
BINANCE:XVSBTC,XVS,BTC,
BINANCE:UNIBTC,UNI,BTC,
BINANCE:AUCTIONBTC,AUCTION,BTC,
BINANCE:CAKEBTC,CAKE,BTC,
BINANCE:PSGBTC,PSG,BTC,
BINANCE:WAVESBTC,WAVES,BTC,
BINANCE:AVAXBTC,AVAX,BTC,
BINANCE:HNTBTC,HNT,BTC,
BINANCE:ATMBTC,ATM,BTC,
BINANCE:ATOMBTC,ATOM,BTC,
BINANCE:UMABTC,UMA,BTC,
BINANCE:JUVBTC,JUV,BTC,
BINANCE:QTUMBTC,QTUM,BTC,
BINANCE:SNXBTC,SNX,BTC,
BINANCE:SUSHIBTC,SUSHI,BTC,
BINANCE:THETABTC,THETA,BTC,
BINANCE:INJBTC,INJ,BTC,
BINANCE:GASBTC,GAS,BTC,
BINANCE:RUNEBTC,RUNE,BTC,
BINANCE:ACMBTC,ACM,BTC,
BINANCE:PERPBTC,PERP,BTC,
BINANCE:FIROBTC,FIRO,BTC,
BINANCE:ORNBTC,ORN,BTC,
BINANCE:ASRBTC,ASR,BTC,
BINANCE:DEGOBTC,DEGO,BTC,
BINANCE:BANDBTC,BAND,BTC,
BINANCE:NANOBTC,NANO,BTC,
BINANCE:OGBTC,OG,BTC,
BINANCE:ALICEBTC,ALICE,BTC,
BINANCE:LUNABTC,LUNA,BTC,
BINANCE:EZBTC,EZ,BTC,
BINANCE:OMGBTC,OMG,BTC,
BINANCE:ANTBTC,ANT,BTC,
BINANCE:AXSBTC,AXS,BTC,
BINANCE:SRMBTC,SRM,BTC,
BINANCE:MIRBTC,MIR,BTC,
BINANCE:BNTBTC,BNT,BTC,
BINANCE:KAVABTC,KAVA,BTC,
BINANCE:GVTBTC,GVT,BTC,
BINANCE:RLCBTC,RLC,BTC,
BINANCE:LITBTC,LIT,BTC,
BINANCE:XTZBTC,XTZ,BTC,
BINANCE:NEARBTC,NEAR,BTC,
BINANCE:LSKBTC,LSK,BTC,
BINANCE:CELOBTC,CELO,BTC,
BINANCE:BCDBTC,BCD,BTC,
BINANCE:AVABTC,AVA,BTC,
BINANCE:BQXBTC,BQX,BTC,
BINANCE:FXSBTC,FXS,BTC,
BINANCE:CRVBTC,CRV,BTC,
BINANCE:NEBLBTC,NEBL,BTC,
BINANCE:TKOBTC,TKO,BTC,
BINANCE:MDXBTC,MDX,BTC,
BINANCE:SXPBTC,SXP,BTC,
BINANCE:PPTBTC,PPT,BTC,
BINANCE:BELBTC,BEL,BTC,
BINANCE:DIABTC,DIA,BTC,
BINANCE:TOMOBTC,TOMO,BTC,
BINANCE:POLSBTC,POLS,BTC,
BINANCE:SKYBTC,SKY,BTC,
BINANCE:SCRTBTC,SCRT,BTC,
BINANCE:FISBTC,FIS,BTC,
BINANCE:STRAXBTC,STRAX,BTC,
BINANCE:DODOBTC,DODO,BTC,
BINANCE:CTKBTC,CTK,BTC,
BINANCE:KMDBTC,KMD,BTC,
BINANCE:ARKBTC,ARK,BTC,
BINANCE:IOTABTC,IOTA,BTC,
BINANCE:AUDIOBTC,AUDIO,BTC,
BINANCE:PNTBTC,PNT,BTC,
BINANCE:ALGOBTC,ALGO,BTC,
BINANCE:SFPBTC,SFP,BTC,
BINANCE:SUSDBTC,SUSD,BTC,
BINANCE:STORJBTC,STORJ,BTC,
BINANCE:ONTBTC,ONT,BTC,
