symbol,base,quote,name
BINANCE:1INCHUSDTPERP,1INCH,USDTPERP,
BINANCE:ADAUSDTPERP,ADA,USDTPERP,
BINANCE:ALICEUSDTPERP,ALICE,USDTPERP,
BINANCE:ATOMUSDTPERP,ATOM,USDTPERP,
BINANCE:AXSUSDTPERP,AXS,USDTPERP,
BINANCE:BAKEUSDTPERP,BAKE,USDTPERP,
BINANCE:BALUSDTPERP,BAL,USDTPERP,
BINANCE:BANDUSDTPERP,BAND,USDTPERP,
BINANCE:BCHUSDTPERP,BCH,USDTPERP,
BINANCE:BELUSDTPERP,BEL,USDTPERP,
BINANCE:COMPUSDTPERP,COMP,USDTPERP,
BINANCE:CRVUSDTPERP,CRV,USDTPERP,
BINANCE:CTKUSDTPERP,CTK,USDTPERP,
BINANCE:DASHUSDTPERP,DASH,USDTPERP,
BINANCE:DOTUSDTPERP,DOT,USDTPERP,
BINANCE:ENJUSDTPERP,ENJ,USDTPERP,
BINANCE:EOSUSDTPERP,EOS,USDTPERP,
BINANCE:FILUSDTPERP,FIL,USDTPERP,
BINANCE:GTCUSDTPERP,GTC,USDTPERP,
BINANCE:KAVAUSDTPERP,KAVA,USDTPERP,
BINANCE:KNCUSDTPERP,KNC,USDTPERP,
BINANCE:LINKUSDTPERP,LINK,USDTPERP,
BINANCE:LITUSDTPERP,LIT,USDTPERP,
BINANCE:LTCUSDTPERP,LTC,USDTPERP,
BINANCE:LUNAUSDTPERP,LUNA,USDTPERP,
BINANCE:MATICUSDTPERP,MATIC,USDTPERP,
BINANCE:MKRUSDTPERP,MKR,USDTPERP,
BINANCE:MTLUSDTPERP,MTL,USDTPERP,
BINANCE:NEARUSDTPERP,NEAR,USDTPERP,
BINANCE:NEOUSDTPERP,NEO,USDTPERP,
BINANCE:OMGUSDTPERP,OMG,USDTPERP,
BINANCE:QTUMUSDTPERP,QTUM,USDTPERP,
BINANCE:RLCUSDTPERP,RLC,USDTPERP,
BINANCE:RUNEUSDTPERP,RUNE,USDTPERP,
BINANCE:SNXUSDTPERP,SNX,USDTPERP,
