symbol,base,quote_asset,name
BINANCE:ACABTC,ACA,BTC,
BINANCE:AERGOBTC,AERGO,BTC,
BINANCE:ALGOBTC,ALGO,BTC,
BINANCE:ALICEBTC,ALICE,BTC,
BINANCE:ALPHABTC,ALPHA,BTC,
BINANCE:ANTBTC,ANT,BTC,
BINANCE:ASTBTC,AST,BTC,
BINANCE:ATOMBTC,ATOM,BTC,
BINANCE:AUDIOBTC,AUDIO,BTC,
BINANCE:BADGERBTC,BADGER,BTC,
BINANCE:BAKEBTC,BAKE,BTC,
BINANCE:BALBTC,BAL,BTC,
BINANCE:BELBTC,BEL,BTC,
BINANCE:BETABTC,BETA,BTC,
BINANCE:BLZBTC,BLZ,BTC,
BINANCE:BNTBTC,BNT,BTC,
BINANCE:C98BTC,C98,BTC,
BINANCE:CHESSBTC,CHESS,BTC,
BINANCE:CHRBTC,CHR,BTC,
BINANCE:CHZBTC,CHZ,BTC,
BINANCE:CLVBTC,CLV,BTC,
BINANCE:COMPBTC,COMP,BTC,
BINANCE:COTIBTC,COTI,BTC,
BINANCE:CRVBTC,CRV,BTC,
BINANCE:CTSIBTC,CTSI,BTC,
BINANCE:DARBTC,DAR,BTC,
BINANCE:DASHBTC,DASH,BTC,
BINANCE:DODOBTC,DODO,BTC,
BINANCE:DUSKBTC,DUSK,BTC,
BINANCE:ELFBTC,ELF,BTC,
BINANCE:ENJBTC,ENJ,BTC,
BINANCE:FETBTC,FET,BTC,
BINANCE:FILBTC,FIL,BTC,
BINANCE:FISBTC,FIS,BTC,
BINANCE:FLMBTC,FLM,BTC,
BINANCE:FLOWBTC,FLOW,BTC,
BINANCE:FLUXBTC,FLUX,BTC,
BINANCE:FRONTBTC,FRONT,BTC,
BINANCE:FTMBTC,FTM,BTC,
BINANCE:GALABTC,GALA,BTC,
BINANCE:GALBTC,GAL,BTC,
BINANCE:GLMRBTC,GLMR,BTC,
BINANCE:GMXBTC,GMX,BTC,
BINANCE:GRTBTC,GRT,BTC,
BINANCE:HARDBTC,HARD,BTC,
BINANCE:HIVEBTC,HIVE,BTC,
BINANCE:IDBTC,ID,BTC,
BINANCE:IMXBTC,IMX,BTC,
BINANCE:INJBTC,INJ,BTC,
BINANCE:JOEBTC,JOE,BTC,
BINANCE:KAVABTC,KAVA,BTC,
BINANCE:KDABTC,KDA,BTC,
BINANCE:KLAYBTC,KLAY,BTC,
BINANCE:KMDBTC,KMD,BTC,
BINANCE:KNCBTC,KNC,BTC,
BINANCE:LITBTC,LIT,BTC,
BINANCE:LPTBTC,LPT,BTC,
BINANCE:LQTYBTC,LQTY,BTC,
BINANCE:LTOBTC,LTO,BTC,
BINANCE:MATICBTC,MATIC,BTC,
BINANCE:MBOXBTC,MBOX,BTC,
BINANCE:MOBBTC,MOB,BTC,
BINANCE:MTLBTC,MTL,BTC,
BINANCE:NEOBTC,NEO,BTC,
BINANCE:NEXOBTC,NEXO,BTC,
BINANCE:NKNBTC,NKN,BTC,
BINANCE:NMRBTC,NMR,BTC,
BINANCE:NULSBTC,NULS,BTC,
BINANCE:OCEANBTC,OCEAN,BTC,
BINANCE:OGBTC,OG,BTC,
BINANCE:OMGBTC,OMG,BTC,
BINANCE:ONGBTC,ONG,BTC,
BINANCE:ONTBTC,ONT,BTC,
BINANCE:OSMOBTC,OSMO,BTC,
BINANCE:PHABTC,PHA,BTC,
BINANCE:PIVXBTC,PIVX,BTC,
BINANCE:PLABTC,PLA,BTC,
BINANCE:POLSBTC,POLS,BTC,
BINANCE:POWRBTC,POWR,BTC,
BINANCE:PYRBTC,PYR,BTC,
BINANCE:QNTBTC,QNT,BTC,
BINANCE:QTUMBTC,QTUM,BTC,
BINANCE:RENBTC,REN,BTC,
BINANCE:REQBTC,REQ,BTC,
BINANCE:RNDRBTC,RNDR,BTC,
BINANCE:ROSEBTC,ROSE,BTC,
BINANCE:RUNEBTC,RUNE,BTC,
BINANCE:SANDBTC,SAND,BTC,
BINANCE:SCRTBTC,SCRT,BTC,
BINANCE:SFPBTC,SFP,BTC,
BINANCE:SNXBTC,SNX,BTC,
BINANCE:STEEMBTC,STEEM,BTC,
BINANCE:STGBTC,STG,BTC,
BINANCE:STORJBTC,STORJ,BTC,
BINANCE:STRAXBTC,STRAX,BTC,
BINANCE:STXBTC,STX,BTC,
BINANCE:SUPERBTC,SUPER,BTC,
BINANCE:SYSBTC,SYS,BTC,
BINANCE:TFUELBTC,TFUEL,BTC,
BINANCE:THETABTC,THETA,BTC,
BINANCE:TOMOBTC,TOMO,BTC,
BINANCE:TRBBTC,TRB,BTC,
BINANCE:TRUBTC,TRU,BTC,
BINANCE:UMABTC,UMA,BTC,
BINANCE:UNFIBTC,UNFI,BTC,
BINANCE:VOXELBTC,VOXEL,BTC,
BINANCE:WANBTC,WAN,BTC,
BINANCE:WBTCBTC,W,BTC,
BINANCE:WRXBTC,WRX,BTC,
BINANCE:WTCBTC,WTC,BTC,
BINANCE:XNOBTC,XNO,BTC,
BINANCE:YGGBTC,YGG,BTC,
BINANCE:ZENBTC,ZEN,BTC,
BINANCE:ZRXBTC,ZRX,BTC,
