symbol,base,quote_asset,name
BINANCE:ALGOUSDT,ALGO,USDT,
BINANCE:ALPHAUSDT,ALPHA,USDT,
BINANCE:ANTUSDT,ANT,USDT,
BINANCE:BADGERUSDT,BADGER,USDT,
BINANCE:BALUSDT,BAL,USDT,
BINANCE:BELUSDT,BEL,USDT,
BINANCE:BETAUSDT,BETA,USDT,
BINANCE:BNTUSDT,BNT,USDT,
BINANCE:BSWUSDT,BSW,USDT,
BINANCE:BURGERUSDT,BURGER,USDT,
BINANCE:CHESSUSDT,CHESS,USDT,
BINANCE:CHRUSDT,CHR,USDT,
BINANCE:CLVUSDT,CLV,USDT,
BINANCE:COTIUSDT,COTI,USDT,
BINANCE:CVPUSDT,CVP,USDT,
BINANCE:DARUSDT,DAR,USDT,
BINANCE:DEXEUSDT,DEXE,USDT,
BINANCE:ELFUSDT,ELF,USDT,
BINANCE:ENJUSDT,ENJ,USDT,
BINANCE:FILUSDT,FIL,USDT,
BINANCE:FISUSDT,FIS,USDT,
BINANCE:FLMUSDT,FLM,USDT,
BINANCE:FLOWUSDT,FLOW,USDT,
BINANCE:FRONTUSDT,FRONT,USDT,
BINANCE:FTMUSDT,FTM,USDT,
BINANCE:GHSTUSDT,GHST,USDT,
BINANCE:GLMRUSDT,GLMR,USDT,
BINANCE:GRTUSDT,GRT,USDT,
BINANCE:HARDUSDT,HARD,USDT,
BINANCE:HIVEUSDT,HIVE,USDT,
BINANCE:IMXUSDT,IMX,USDT,
BINANCE:JOEUSDT,JOE,USDT,
BINANCE:KLAYUSDT,KLAY,USDT,
BINANCE:KMDUSDT,KMD,USDT,
BINANCE:LITUSDT,LIT,USDT,
BINANCE:LPTUSDT,LPT,USDT,
BINANCE:LTOUSDT,LTO,USDT,
BINANCE:MBOXUSDT,MBOX,USDT,
BINANCE:NEOUSDT,NEO,USDT,
BINANCE:NKNUSDT,NKN,USDT,
BINANCE:NMRUSDT,NMR,USDT,
BINANCE:OAXUSDT,OAX,USDT,
BINANCE:OGUSDT,OG,USDT,
BINANCE:OMGUSDT,OMG,USDT,
BINANCE:ONTUSDT,ONT,USDT,
BINANCE:PHAUSDT,PHA,USDT,
BINANCE:PLAUSDT,PLA,USDT,
BINANCE:PUNDIXUSDT,PUNDIX,USDT,
BINANCE:PYRUSDT,PYR,USDT,
BINANCE:QNTUSDT,QNT,USDT,
BINANCE:QTUMUSDT,QTUM,USDT,
BINANCE:REQUSDT,REQ,USDT,
BINANCE:RUNEUSDT,RUNE,USDT,
BINANCE:SANDUSDT,SAND,USDT,
BINANCE:SFPUSDT,SFP,USDT,
BINANCE:STXUSDT,STX,USDT,
BINANCE:SYSUSDT,SYS,USDT,
BINANCE:TFUELUSDT,TFUEL,USDT,
BINANCE:THETAUSDT,THETA,USDT,
BINANCE:TOMOUSDT,TOMO,USDT,
BINANCE:TRBUSDT,TRB,USDT,
BINANCE:TRUUSDT,TRU,USDT,
BINANCE:UMAUSDT,UMA,USDT,
BINANCE:VOXELUSDT,VOXEL,USDT,
BINANCE:VTHOUSDT,VTHO,USDT,
BINANCE:WANUSDT,WAN,USDT,
BINANCE:WLDUSDT,WLD,USDT,
BINANCE:WRXUSDT,WRX,USDT,
BINANCE:WTCUSDT,WTC,USDT,
BINANCE:XNOUSDT,XNO,USDT,
BINANCE:ZENUSDT,ZEN,USDT,
