symbol,base,quote,name
BINANCE:1INCHUSDT,1INCH,USDT,
BINANCE:ACMUSDT,ACM,USDT,
BINANCE:ADAUSDT,ADA,USDT,
BINANCE:AIONUSDT,AION,USDT,
BINANCE:AKROUSDT,AKRO,USDT,
BINANCE:ALGOUSDT,ALGO,USDT,
BINANCE:ALICEUSDT,ALICE,USDT,
BINANCE:ALPACAUSDT,ALPACA,USDT,
BINANCE:ALPHAUSDT,ALPHA,USDT,
BINANCE:ANKRUSDT,ANKR,USDT,
BINANCE:ANTUSDT,ANT,USDT,
BINANCE:ARPAUSDT,ARPA,USDT,
BINANCE:ARUSDT,AR,USDT,
BINANCE:ASRUSDT,ASR,USDT,
BINANCE:ATAUSDT,ATA,USDT,
BINANCE:ATMUSDT,ATM,USDT,
BINANCE:ATOMUSDT,ATOM,USDT,
BINANCE:AUDUSDT,AUD,USDT,
BINANCE:AUTOUSDT,AUTO,USDT,
BINANCE:AVAUSDT,AVA,USDT,
BINANCE:AVAXUSDT,AVAX,USDT,
BINANCE:BADGERUSDT,BADGER,USDT,
BINANCE:BAKEUSDT,BAKE,USDT,
BINANCE:BALUSDT,BAL,USDT,
BINANCE:BANDUSDT,BAND,USDT,
BINANCE:BARUSDT,BAR,USDT,
BINANCE:BATUSDT,BAT,USDT,
BINANCE:BCHUSDT,BCH,USDT,
BINANCE:BEAMUSDT,BEAM,USDT,
BINANCE:BELUSDT,BEL,USDT,
BINANCE:BLZUSDT,BLZ,USDT,
BINANCE:BNBUSDT,BNB,USDT,
BINANCE:BNTUSDT,BNT,USDT,
BINANCE:BONDUSDT,BOND,USDT,
BINANCE:BTCSTUSDT,BTCST,USDT,
BINANCE:BTGUSDT,BTG,USDT,
BINANCE:BTSUSDT,BTS,USDT,
BINANCE:BTTUSDT,BTT,USDT,
BINANCE:BURGERUSDT,BURGER,USDT,
BINANCE:BUSDUSDT,BUSD,USDT,
BINANCE:BZRXUSDT,BZRX,USDT,
BINANCE:C98USDT,C98,USDT,
BINANCE:CAKEUSDT,CAKE,USDT,
BINANCE:CELOUSDT,CELO,USDT,
BINANCE:CELRUSDT,CELR,USDT,
BINANCE:CFXUSDT,CFX,USDT,
BINANCE:CHRUSDT,CHR,USDT,
BINANCE:CHZUSDT,CHZ,USDT,
BINANCE:CKBUSDT,CKB,USDT,
BINANCE:CLVUSDT,CLV,USDT,
BINANCE:COCOSUSDT,COCOS,USDT,
BINANCE:COMPUSDT,COMP,USDT,
BINANCE:COSUSDT,COS,USDT,
BINANCE:COTIUSDT,COTI,USDT,
BINANCE:CRVUSDT,CRV,USDT,
BINANCE:CTKUSDT,CTK,USDT,
BINANCE:CTSIUSDT,CTSI,USDT,
BINANCE:CTXCUSDT,CTXC,USDT,
BINANCE:CVCUSDT,CVC,USDT,
BINANCE:DASHUSDT,DASH,USDT,
BINANCE:DATAUSDT,DATA,USDT,
BINANCE:DCRUSDT,DCR,USDT,
BINANCE:DEGOUSDT,DEGO,USDT,
BINANCE:DEXEUSDT,DEXE,USDT,
BINANCE:DGBUSDT,DGB,USDT,
BINANCE:DIAUSDT,DIA,USDT,
BINANCE:DNTUSDT,DNT,USDT,
BINANCE:DOCKUSDT,DOCK,USDT,
BINANCE:DODOUSDT,DODO,USDT,
BINANCE:DOTUSDT,DOT,USDT,
BINANCE:DREPUSDT,DREP,USDT,
BINANCE:DUSKUSDT,DUSK,USDT,
BINANCE:EGLDUSDT,EGLD,USDT,
BINANCE:ENJUSDT,ENJ,USDT,
BINANCE:EOSUSDT,EOS,USDT,
BINANCE:EPSUSDT,EPS,USDT,
BINANCE:ERNUSDT,ERN,USDT,
BINANCE:ETCUSDT,ETC,USDT,
BINANCE:ETHUSDT,ETH,USDT,
BINANCE:EURUSDT,EUR,USDT,
BINANCE:FARMUSDT,FARM,USDT,
BINANCE:FETUSDT,FET,USDT,
BINANCE:FILUSDT,FIL,USDT,
BINANCE:FIOUSDT,FIO,USDT,
BINANCE:FIROUSDT,FIRO,USDT,
BINANCE:FISUSDT,FIS,USDT,
BINANCE:FLMUSDT,FLM,USDT,
BINANCE:FLOWUSDT,FLOW,USDT,
BINANCE:FORTHUSDT,FORTH,USDT,
BINANCE:FORUSDT,FOR,USDT,
BINANCE:FTMUSDT,FTM,USDT,
BINANCE:FTTUSDT,FTT,USDT,
BINANCE:FUNUSDT,FUN,USDT,
BINANCE:GBPUSDT,GBP,USDT,
BINANCE:GHSTUSDT,GHST,USDT,
BINANCE:GRTUSDT,GRT,USDT,
BINANCE:GTCUSDT,GTC,USDT,
BINANCE:GTOUSDT,GTO,USDT,
BINANCE:GXSUSDT,GXS,USDT,
BINANCE:HARDUSDT,HARD,USDT,
BINANCE:HBARUSDT,HBAR,USDT,
BINANCE:HIVEUSDT,HIVE,USDT,
BINANCE:HOTUSDT,HOT,USDT,
BINANCE:ICPUSDT,ICP,USDT,
BINANCE:ICXUSDT,ICX,USDT,
BINANCE:INJUSDT,INJ,USDT,
BINANCE:IOSTUSDT,IOST,USDT,
BINANCE:IOTAUSDT,IOTA,USDT,
BINANCE:IOTXUSDT,IOTX,USDT,
BINANCE:IRISUSDT,IRIS,USDT,
BINANCE:JSTUSDT,JST,USDT,
BINANCE:JUVUSDT,JUV,USDT,
BINANCE:KAVAUSDT,KAVA,USDT,
BINANCE:KEEPUSDT,KEEP,USDT,
BINANCE:KEYUSDT,KEY,USDT,
BINANCE:KLAYUSDT,KLAY,USDT,
BINANCE:KMDUSDT,KMD,USDT,
BINANCE:KNCUSDT,KNC,USDT,
BINANCE:KSMUSDT,KSM,USDT,
BINANCE:LINAUSDT,LINA,USDT,
BINANCE:LINKUSDT,LINK,USDT,
BINANCE:LITUSDT,LIT,USDT,
BINANCE:LPTUSDT,LPT,USDT,
BINANCE:LSKUSDT,LSK,USDT,
BINANCE:LTCUSDT,LTC,USDT,
BINANCE:LTOUSDT,LTO,USDT,
BINANCE:LUNAUSDT,LUNA,USDT,
BINANCE:MANAUSDT,MANA,USDT,
BINANCE:MATICUSDT,MATIC,USDT,
BINANCE:MBLUSDT,MBL,USDT,
BINANCE:MBOXUSDT,MBOX,USDT,
BINANCE:MDTUSDT,MDT,USDT,
BINANCE:MDXUSDT,MDX,USDT,
BINANCE:MFTUSDT,MFT,USDT,
BINANCE:MINAUSDT,MINA,USDT,
BINANCE:MITHUSDT,MITH,USDT,
BINANCE:MKRUSDT,MKR,USDT,
BINANCE:MTLUSDT,MTL,USDT,
BINANCE:NANOUSDT,NANO,USDT,
BINANCE:NBSUSDT,NBS,USDT,
BINANCE:NEARUSDT,NEAR,USDT,
BINANCE:NEOUSDT,NEO,USDT,
BINANCE:NKNUSDT,NKN,USDT,
BINANCE:NMRUSDT,NMR,USDT,
BINANCE:NULSUSDT,NULS,USDT,
BINANCE:NUUSDT,NU,USDT,
BINANCE:OCEANUSDT,OCEAN,USDT,
BINANCE:OGNUSDT,OGN,USDT,
BINANCE:OGUSDT,OG,USDT,
BINANCE:OMGUSDT,OMG,USDT,
BINANCE:OMUSDT,OM,USDT,
BINANCE:ONEUSDT,ONE,USDT,
BINANCE:ONGUSDT,ONG,USDT,
BINANCE:ONTUSDT,ONT,USDT,
BINANCE:ORNUSDT,ORN,USDT,
BINANCE:OXTUSDT,OXT,USDT,
BINANCE:PAXGUSDT,PAXG,USDT,
BINANCE:PAXUSDT,PAX,USDT,
BINANCE:PERLUSDT,PERL,USDT,
BINANCE:PERPUSDT,PERP,USDT,
BINANCE:PHAUSDT,PHA,USDT,
BINANCE:PNTUSDT,PNT,USDT,
BINANCE:POLSUSDT,POLS,USDT,
BINANCE:PONDUSDT,POND,USDT,
BINANCE:PSGUSDT,PSG,USDT,
BINANCE:PUNDIXUSDT,PUNDIX,USDT,
BINANCE:QNTUSDT,QNT,USDT,
BINANCE:QTUMUSDT,QTUM,USDT,
BINANCE:QUICKUSDT,QUICK,USDT,
BINANCE:RAMPUSDT,RAMP,USDT,
BINANCE:RAYUSDT,RAY,USDT,
BINANCE:REEFUSDT,REEF,USDT,
BINANCE:RENUSDT,REN,USDT,
BINANCE:REPUSDT,REP,USDT,
BINANCE:REQUSDT,REQ,USDT,
BINANCE:RIFUSDT,RIF,USDT,
BINANCE:RLCUSDT,RLC,USDT,
BINANCE:ROSEUSDT,ROSE,USDT,
BINANCE:RSRUSDT,RSR,USDT,
BINANCE:RUNEUSDT,RUNE,USDT,
BINANCE:RVNUSDT,RVN,USDT,
BINANCE:SANDUSDT,SAND,USDT,
BINANCE:SCUSDT,SC,USDT,
BINANCE:SFPUSDT,SFP,USDT,
BINANCE:SKLUSDT,SKL,USDT,
BINANCE:SLPUSDT,SLP,USDT,
BINANCE:SNXUSDT,SNX,USDT,
BINANCE:SOLUSDT,SOL,USDT,
BINANCE:SRMUSDT,SRM,USDT,
BINANCE:STMXUSDT,STMX,USDT,
BINANCE:STORJUSDT,STORJ,USDT,
BINANCE:STPTUSDT,STPT,USDT,
BINANCE:STRAXUSDT,STRAX,USDT,
BINANCE:STXUSDT,STX,USDT,
BINANCE:SUNUSDT,SUN,USDT,
BINANCE:SUPERUSDT,SUPER,USDT,
BINANCE:SUSDUSDT,SUSD,USDT,
BINANCE:SUSHIUSDT,SUSHI,USDT,
BINANCE:SXPUSDT,SXP,USDT,
BINANCE:TCTUSDT,TCT,USDT,
BINANCE:TFUELUSDT,TFUEL,USDT,
BINANCE:THETAUSDT,THETA,USDT,
BINANCE:TKOUSDT,TKO,USDT,
BINANCE:TLMUSDT,TLM,USDT,
BINANCE:TOMOUSDT,TOMO,USDT,
BINANCE:TORNUSDT,TORN,USDT,
BINANCE:TRBUSDT,TRB,USDT,
BINANCE:TROYUSDT,TROY,USDT,
BINANCE:TRUUSDT,TRU,USDT,
BINANCE:TRXUSDT,TRX,USDT,
BINANCE:TUSDUSDT,TUSD,USDT,
BINANCE:TVKUSDT,TVK,USDT,
BINANCE:TWTUSDT,TWT,USDT,
BINANCE:UMAUSDT,UMA,USDT,
BINANCE:UNFIUSDT,UNFI,USDT,
BINANCE:UNIUSDT,UNI,USDT,
BINANCE:USDCUSDT,USDC,USDT,
BINANCE:UTKUSDT,UTK,USDT,
BINANCE:VETUSDT,VET,USDT,
BINANCE:VITEUSDT,VITE,USDT,
BINANCE:VTHOUSDT,VTHO,USDT,
BINANCE:WANUSDT,WAN,USDT,
